	Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
0	DisGeNET	Mitochondrial Diseases	108/384	2.6399816649491042e-22	1.91609869242006e-18	0	0	3.452374213494154	171.53501066398044	ISCA2;NDUFA13;NDUFA11;NDUFA12;COX6A1;TXN2;MPC1;LONP1;SACS;SLC25A46;SDHD;COX6B1;BOLA3;TMEM126A;SUCLG1;UQCRC2;TMEM126B;ISCU;NDUFB10;UQCRB;NDUFB11;COX7A2;MRPL12;UQCRH;TIMM50;COX14;CYC1;NDUFV3;NDUFV2;NPTX2;NDUFV1;HSPA9;DNAJC19;COA3;SURF1;PDHA1;UQCC3;UQCC2;CHCHD10;COQ7;UQCRQ;NDUFAF5;OGDH;NDUFAF2;NDUFAF3;CYCS;ACO2;COX20;COX7B;MRPS16;COX4I1;IER3IP1;COX7C;OPA1;IDH3B;UQCRFS1;DNM1L;COX8A;DCC;GLRX5;MRPS23;NDUFC2;NDUFC1;MRPS7;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS2;NDUFS1;DLD;SLC25A4;NDUFB9;NDUFB8;NDUFB7;NDUFB6;NDUFB5;NDUFB3;NDUFB2;DLST;COX5B;MFF;COX5A;HSD17B10;TMEM70;HSPD1;SLC25A22;NDUFA8;NDUFA7;NDUFA6;PET100;NDUFA5;MDH2;PNPLA8;NDUFA4;NDUFA3;TXNRD1;NDUFA2;NDUFA1;COX6C;SOD2;GDAP1;TTC19;PDP1;GATM;SUCLA2;NDUFAB1
1	DisGeNET	Epileptic encephalopathy	120/468	5.9179409873084385e-21	2.147620784294233e-17	0	0	3.04820637540172	141.97416963610593	CYFIP2;NDUFA11;HNRNPU;MLC1;RUSC2;TUBB3;FRRS1L;AKT3;DENND5A;LARGE1;GLUL;SCN1B;COG8;MAP2K2;CDKL5;MAGI2;ALG2;TSC2;CASK;DPM1;STX1B;DPM2;CACNB4;BOLA3;SCN8A;CSNK2B;SMS;SUCLG1;RNASEH2C;UBA5;SLC1A2;TIMM50;GRIN2A;ADGRG1;PSAP;ATP6V0A2;NDUFV1;MPDU1;SURF1;EIF2B2;PDHA1;H3F3B;H3F3A;BRAF;UBE2A;AIMP1;GNAO1;QDPR;CCDC88A;SYNJ1;GNAQ;NDUFAF5;NDUFAF2;NDUFAF3;TCF4;ITPA;SCN2B;GABRB3;CNTNAP2;DDX3X;GPAA1;SLC6A1;IER3IP1;PPP3CA;PCLO;GM2A;KIF1A;DNM1L;CTSD;SPTAN1;YWHAG;ATRX;ATP6AP2;AMPD2;TUBG1;AP3B2;ARID1B;DNM1;ZEB2;HAX1;NDUFS8;KIF2A;NDUFS7;ACOX1;NDUFS6;TRAPPC6B;NDUFS4;NDUFS2;HNRNPH2;NDUFS1;TSEN34;CSTB;NAPB;GBA;PRICKLE2;ATP1A3;ATP1A2;MFF;TMEM70;USP19;HSPD1;NRAS;SLC25A22;GABRA1;KCNJ10;SLC12A5;PET100;KCNB1;MDH2;USP9X;NDUFA2;GRIN1;RAB11B;FIG4;GATM;SUCLA2;CLCN4;GLRB;RAB3GAP2;HCN2
2	DisGeNET	Epilepsy	219/1177	7.148510810809555e-18	1.7294630488285252e-14	0	0	2.052926519326008	81.04877450823598	APP;HNRNPU;MLC1;CISD2;AQP4;ACTB;PCMT1;PPP2R1A;AKT2;AKT3;ATP6V1E1;GLUL;SCN1B;RBFOX1;RBFOX2;CACNA2D1;ALG2;MIF;STX1B;DDIT3;BOLA3;SPARCL1;VDAC2;SUCLG1;TMEM126B;CTBP1;GNS;GRIN2A;PRDX1;ATP6V0A2;APOE;CREBBP;SURF1;MYO5A;BRAF;SMARCA2;MANF;AIMP1;FA2H;CCDC88A;SLC6A9;AGO2;NDUFAF5;NDUFAF2;NDUFAF3;SCN2B;GABRB3;GRIK2;WASL;IER3IP1;SLC6A1;PQBP1;NIPBL;PCLO;CTSD;SPTAN1;COX8A;KCND2;SLC32A1;SSR4;AMPD2;TUBG1;SYN2;ZEB2;KIF2A;HNRNPH2;MAPT;SGK1;DLD;NAPB;CSTB;TOMM40;RPL10;SLC20A2;SATB2;ODC1;GBA;ADAM22;PTPA;NRAS;SNX25;ADAM23;DMD;MGAT2;PAK3;GABRA2;GABRA1;GABBR1;PET100;KCNB1;MDH2;GAD1;GRIN1;FIG4;PDP1;NFIA;FABP7;NDUFA11;NDUFA12;CTNND2;FMR1;ZBTB20;PARK7;CLU;TXN2;COTL1;LARGE1;CDKL5;SNRPN;MAGI2;CASK;TSC2;TBR1;SDHD;COX6B1;DPM1;DPM2;CACNB4;SCN8A;SMS;SELENOW;PPIA;PVALB;ATP6V1A;NDUFB11;UBA5;SLC1A1;SLC1A2;CPLX1;CAMSAP2;ADGRG1;UBB;PSAP;PGK1;COX14;NDUFV2;NDUFV1;MPDZ;MPDU1;PRNP;PDHA1;EIF2B2;AUTS2;BDNF;HSPA4;UQCC2;NONO;SLC4A10;UBE2A;PTPRD;GNAO1;QDPR;ARPC2;SYNJ1;GNAQ;GNAS;CNTN2;TCF4;ACO2;STT3B;FGFR2;COX20;CNTNAP2;DDX3X;ATP2A2;ELFN1;GM2A;YWHAG;HGSNAT;GPX1;GLRX5;ATRX;ATP6AP2;NRG1;PEX2;KCNAB1;KCNAB2;ARID1B;DNM1;LMBRD1;HAX1;NDUFS8;NPC1;NDUFS7;NPC2;ACOX1;NDUFS6;NDUFS4;NDUFS2;NDUFS1;NDUFB9;NDUFB3;MAK16;ATP1A3;ATP1A2;MFF;HSD17B10;LAGE3;HSPD1;TTR;SV2A;UBQLN1;CNNM2;SLC25A22;SH2B1;SLC12A2;SLC12A5;KCNJ10;TXNRD1;NDUFA2;NDUFA1;TPRKB;S100B;SOD2;SORL1;SUCLA2;CLCN4;PDE10A;HCN2
3	DisGeNET	Seizures	214/1174	1.8762886920592422e-16	3.404525831741495e-13	0	0	1.996347831835008	72.29187897050475	ATF2;APP;HNRNPU;MLC1;CISD2;AQP4;ACTB;RPS19;PPP2R1A;AKT2;AKT3;DENR;ATP6V1E1;GLUL;SCN1B;ANKS1B;RBFOX1;ALG2;STX1B;SNHG14;DDIT3;MAP1B;BOLA3;SUCLG1;TMEM126B;NRN1;CTBP1;GNS;GRIN2A;HIVEP1;ATP6V0A2;APOE;BRAP;SRPK2;CREBBP;SURF1;HOMER1;MYO5A;BRAF;SMARCA2;AIMP1;FA2H;CCDC88A;SLC6A9;NDUFAF5;NDUFAF2;NDUFAF3;PAM;GABRB3;GRIK2;SLC6A1;PQBP1;PPP3CA;NIPBL;PCLO;IMPA1;CTSD;SPTAN1;COX8A;KCND2;SSR4;TESC;AMPD2;PROX1;TUBG1;RBSN;SYN2;KIF2A;HNRNPH2;MAPT;DLD;CSTB;TOMM40;RPL10;SLC20A2;SATB2;GBA;ADAM22;PRICKLE2;NRAS;ADAM23;MGAT2;APBB1;PAK3;BCAP31;GABRA1;GABBR1;PET100;KCNB1;MDH2;USP9X;GABRA5;GAD1;GRIN1;FIG4;PDP1;NFIA;SNX14;TARDBP;NDUFA11;NDUFA12;FMR1;ZBTB20;CLU;TXN2;FRRS1L;LARGE1;CDKL5;SNRPN;MAGI2;CASK;TSC2;TBR1;SDHD;COX6B1;DPM1;DPM2;SCN8A;SMS;ADNP;PVALB;LY6E;PSMD10;ATP6V1A;NDUFB11;UBA5;SLC1A1;SLC1A2;SEZ6L2;CPLX1;ATXN2;ADGRG1;UBB;PSAP;PGK1;COX14;SRGAP3;NDUFV2;NDUFV1;MPDZ;GRIA4;MPDU1;PRNP;PDHA1;EIF2B2;AUTS2;BDNF;HSPA4;UQCC2;NONO;UBE2A;MT3;GNAO1;QDPR;NR4A2;SYNJ1;GNAQ;GNAS;CNTN2;TCF4;ACO2;STT3B;FGFR2;COX20;CNTNAP2;TSEN15;ATP2A2;ELFN1;GM2A;DNM1L;HGSNAT;GLRX5;ATRX;NRG1;PEX2;KCNAB2;SEZ6L;ARID1B;DNM1;LMBRD1;NDUFS8;NPC1;NDUFS7;NPC2;ACOX1;NDUFS6;NDUFS4;NDUFS2;NDUFS1;NDUFB9;NDUFB3;ATP1A3;ATP1A2;MFF;HSD17B10;LAGE3;HSPD1;TTR;SV2A;UBQLN1;CNNM2;SH2B1;MAPK3;SLC12A2;SLC12A5;KCNJ10;NDUFA2;NDUFA1;TPRKB;S100B;SOD2;SORL1;SUCLA2;PDE10A
4	DisGeNET	Schizophrenia	311/1923	7.6406772508862835e-16	1.1091207097386526e-12	0	0	1.7510854350454093	60.9515633633347	EIF4A2;APP;HNRNPU;MLC1;AQP4;ADARB1;ENO2;ACTB;GLS;PCMT1;HERC2;RPS19;AKT2;DPYSL2;AKT3;BSG;ARL6IP5;PIP4K2A;PTGDS;RPS10;B2M;GLUL;ANKS1B;MBNL1;RBFOX1;ACSL6;CSNK1D;PRKCA;SLC6A11;MIF;UHMK1;DKK3;BCAN;ARC;PRKAR1A;FEZ1;CSNK2B;AKAP9;TXNIP;TAGLN3;ATP6V0D1;CLOCK;NGEF;ATF4;ASTN1;ADCYAP1R1;NRN1;RPN2;PLA2G7;GABARAP;MYL12B;PRDX2;GRIN2A;BLOC1S1;MAP2;EPB41L3;APOD;APOE;HIVEP2;SPTBN2;BRAP;SRPK2;CREBBP;GSTM1;HOMER1;H3F3B;HSPA12A;SMARCA2;SNAP91;DCLK1;PRRC2A;EIF5;SLC6A9;AGO2;CALR;RETREG2;CDK16;CDC42SE2;GABRB3;CLTB;SRA1;GRIK2;CTCF;IDE;SLC6A1;PPP3CA;PPP3CB;HINT1;PCLO;ZMYM3;CHL1;NEFL;NEFM;DLGAP1;SPTAN1;TOP3B;CCT3;TPI1;SLC32A1;ELOVL5;IL18;GFRA1;SYP;SYN2;GFRA2;CLDN11;ZEB2;KIF2A;VSNL1;TCP1;VAMP1;ALDOC;TKT;VAMP2;DBN1;SATB2;GPS1;AKAP6;NOL4;CAMKK2;PPP1R2;DMD;CKB;CTNNA2;PAK3;CSMD1;PAK2;SF3B1;GABRA1;RANBP1;GABBR1;MDH1;MOG;KCNB1;SORT1;GABRA5;GAD1;LSAMP;GRIN1;WDR11;TPPP3;RIT2;PHF5A;FABP5;FABP7;PLP1;TARDBP;PNPLA2;CDK5R1;CTNND2;FMR1;ZBTB20;NUCKS1;NR3C1;CLU;RGS4;RGS2;RIMS3;ATCAY;MPC2;CFL1;ADORA1;CHP1;TMSB10;SH3GL2;KPNA1;NSF;BNIP3L;MAGI2;TSC2;FOXP1;MAG;TMX2;SMS;TCTA;ADNP;PPIA;PVALB;DGKH;ATP6V1A;RTN3;RTN1;CNP;CUL3;SLC1A1;GPR85;SLC1A2;PHB;CPLX2;CPLX1;RTN4;ATXN2;MOBP;PGK1;MBP;SRGAP3;NDUFV2;SLC38A2;NDUFV1;GRIA4;SPECC1;HSPA9;PRNP;HSPA8;AUTS2;HSPA5;BDNF;HSPA4;NONO;GOT2;LSM1;TBCB;QKI;MOB4;GNAO1;NR4A2;AHI1;NSFL1C;DLG1;DAB1;DLG2;CDK4;GNAQ;GNAS;UBE2N;CNTN2;TCF4;ACO2;GCLM;FGFR2;PICALM;SNAP25;CNTNAP2;GSK3B;DOCK4;WDR1;CELF2;ATP2A2;DBI;NRGN;OPA1;EFHD2;PDE4A;YWHAG;USP46;ACTR2;HSP90AA1;GPX1;TTC33;DCC;NRG1;DNM1;EPN2;NRG3;VGF;NDUFS7;NDUFS6;NOS1AP;ALDH1A1;MYH9;NDUFS1;GAPDH;INA;CAMK2B;HDAC2;DDC;NLGN1;SFSWAP;NDUFB5;SRSF1;NRXN3;ASAP1;CLCN3;HSD17B10;LRP8;HSPD1;CDC42;DNAJB1;AP3M1;TTR;SV2A;FYN;CNNM2;KCNJ3;HNRNPA0;OPCML;MAPK3;SLC12A2;CHGA;NTRK2;HNRNPA3;SLC12A5;KCNJ10;NTRK3;CNBP;IMMT;ATP2B2;S100B;SOD2;SORL1;MARCKS;NFASC;PDE10A;APC;PPP2R2B;RGS10;CD9;CHPT1;TRIM32;PFKM;TPT1
5	DisGeNET	Neurodegenerative Disorders	147/745	2.2431330491916522e-14	2.713443278505502e-11	0	0	2.171572077165629	68.24885721610455	ATF2;APP;FMR1;ATN1;ZBTB20;CISD2;AQP4;PARK7;NR3C1;CLU;PSMD8;ABHD12;CHCHD2;TBK1;SCP2;DPYSL2;PSMD2;CFL2;FTH1;SACS;FBXO7;EPHA4;SNRPN;MIF;SCN8A;PGP;PPIF;TXNIP;UBE2V1;PFN1;PPID;LY6E;KHDRBS1;PSMD12;BHLHB9;HTRA1;SLC1A2;NDRG2;STIP1;ATXN2;PCSK1N;UBB;MBP;APOD;APOE;SPTBN2;HSPA9;FDPS;PRNP;CREBBP;SURF1;GSTM1;JUND;EIF2B2;HSPA5;BDNF;FUS;HSPA4;OGA;CHCHD10;COQ7;REEP1;AIMP1;FA2H;OGDH;PIN1;ACO2;OGT;EIF4G2;ITM2B;GSK3B;CX3CL1;PQBP1;PCLO;GM2A;OPA1;YWHAQ;RACK1;PDE4A;KIF1A;NEFH;CTSD;SPTAN1;HSP90AA1;TMED9;METRN;ATRX;AMPD2;MANEAL;COASY;NDUFS8;NPC1;NDUFS7;NPC2;ACOX1;ACSBG1;MAPT;SGK1;CRYAB;GAPDH;INA;DBN1;CSTB;PCNA;MAK16;GBA;DLST;GLRX;HSD17B10;AGPAT3;HSPD1;CDC42;DNAJB2;PTPA;DNAJB1;PAK1;FAM168B;TTR;SNX27;FYN;APBB1;PAK3;UBQLN2;MOG;SORT1;TXNRD1;GAD1;NDUFA1;VEGFB;S100B;SOD2;OXR1;GDAP1;TTC19;FIG4;TPPP3;SUCLA2;PDE10A;OSTM1;PPP2R2B;HNRNPA2B1;PLP1;RGS10;BAX;PNPLA6;TARDBP;CDK5R1
6	DisGeNET	Alzheimer's Disease	305/1982	1.0235331399254506e-12	1.061257647082703e-09	0	0	1.638670244484198	45.24001583060479	EIF4A2;ATF2;APP;SPON1;GMFB;SERPINE2;GDE1;AQP4;ADARB1;ENO1;ENO2;ACTB;SCP2;DPYSL2;PSMD2;BSG;DENR;PTGDS;PRKACB;FBXO7;GLUL;ANKS1B;EPHA4;PRKCB;FBXO2;ACSL6;CSNK1D;MIF;BCAN;ARC;DDX39B;PRKAR1A;BIN1;DDIT3;MAP1B;DDIT4;AKAP9;TFAM;CLOCK;ATF4;PPP1R37;NRN1;SDC2;PIK3R3;PLA2G7;ARPP19;NKAIN2;PRDX3;PRDX2;LDHA;GRIN2A;PCBP4;MAP2;PRDX1;MYO6;APOD;APOE;SPTBN1;NTSR2;SRPK2;ABCA2;FIS1;CREBBP;GSTM1;JUND;HOMER1;LNPEP;SNAP91;RPS27;OGDH;CALR;ITM2B;RPS23;CDC42SE2;PHF1;FAF1;LRRC4;CHM;SRA1;IDE;ING1;CX3CL1;PPP3CA;MAP1LC3B;MAP1LC3A;ZMYM3;CHL1;RACK1;NEFL;NEFM;TMED7;NEFH;CTSD;APPL1;COX8A;PSENEN;TMED9;TPI1;SLC32A1;IL18;GFRA1;SYP;SYN2;RHOA;NME1;TMEFF2;VSNL1;VAMP1;CD47;MAPT;CRYAB;DLD;DBN1;PCNA;TOMM40;ODC1;GBA;USO1;DLST;XIAP;COX5A;GNAI1;PTPA;PPP2CA;PSMB6;PAK1;PGRMC1;MGAT3;CLPTM1;DMD;CKB;APBB1;HARS;CTNNA2;CSMD1;GABBR1;MOG;KCNB1;SORT1;USP9X;GAD1;TMEM176B;RAB11A;GRIN1;RAB11B;PPP1CA;PDP1;NFIA;HNRNPA2B1;TARDBP;CDK5R1;CTNND2;FMR1;ATN1;IRS2;NR3C1;CLU;NR3C2;NUDT11;RGS4;NPEPPS;RGS2;ATCAY;LAMP1;CDH2;CFL2;KHSRP;STK16;ENPP2;SH3GL2;MAP2K4;MAP2K2;FBXW7;APLP2;TSC2;PCP4;STIM2;SRSF2;PPIF;SRSF5;ADNP;PPIB;FKBP4;PPIA;ABCG4;PPID;PVALB;KHDRBS1;RTN3;BHLHB9;TMED10;CNP;SEL1L;SLC1A1;HTRA1;SLC1A2;NDRG2;KLC1;CPLX2;SEZ6L2;CPLX1;RTN4;STIP1;ATXN2;PCSK1N;MOBP;UBB;DVL1;MBP;NAE1;SKIL;SPECC1;HSPA9;FDPS;PRNP;HSPA8;SYT1;HSPA5;BDNF;HSPA4;OGA;CHCHD10;MT3;NR4A2;DLG1;FGF14;DAB1;REEP5;SYNJ1;NACA;CDK4;PIN1;ACO2;OGT;UBE2K;RAB5A;BCL2L2;EIF4G2;PICALM;SNAP25;GSK3B;CELF2;PSIP1;NRGN;YWHAQ;EFHD2;PDE4A;ITGAV;DNM1L;HSP90AA1;DST;NRG1;RAD23B;DNM1;PTBP2;COASY;SFPQ;NRG3;DDAH1;NPC1;NPC2;C1D;GAPDH;CRK;SLC25A4;DCTN6;HDAC2;NDUFB8;NLGN1;ROCK2;LUZP2;MAK16;HMGCR;CLCN3;HSD17B10;LRP8;HSPD1;CDC42;TTR;MAT2A;SV2A;TRA2B;UBQLN1;FYN;RBBP6;NCAM2;MAPK3;CHGA;SPAG9;NTRK2;NDUFA6;PTCD2;NDUFA5;TXNRD1;S100B;SOD2;SORL1;MARCKS;SUCLA2;APC;PPP2R2B;PDCD4;BAX;TPT1;RAN
7	DisGeNET	Global developmental delay	189/1102	4.235831096781817e-12	3.842957762555304e-09	0	0	1.834781525037329	48.04823396643909	APP;SPARC;NDUFA11;FRMPD4;NDUFA12;FMR1;ZBTB20;HNRNPU;MSMO1;RTL6;ACTB;CRKL;TXN2;NDST1;ATCAY;HERC2;RPS19;FRRS1L;TUBB3;MPC1;PPP2R1A;LONP1;ATP6V1E1;LARGE1;SCN1B;SLC25A46;CDKL5;MAP2K2;SNRPN;PAM16;ALG2;CASK;TSC2;MIF;SDHD;FOXP1;COX6B1;DPM2;MAG;PRKAR1A;DKC1;SCN8A;BOLA3;YME1L1;SUCLG1;TMEM126B;ADNP;ATP6V1A;MACF1;CTBP1;SLC1A2;CEND1;CPLX1;NKAIN2;GRIN2A;ADGRG1;DVL1;PSAP;ATP6V0A2;CAMTA1;MBP;COX14;HIVEP2;NDUFV2;NDUFV1;MPDU1;SPTBN2;SURF1;ACD;PDHA1;AUTS2;UQCC3;BDNF;HSPA4;UQCC2;MYO5A;BRAF;SMARCA2;COQ7;PTK2;AIMP1;GNAO1;QDPR;AHI1;CCDC88A;SLC6A9;UQCRQ;COPS2;NDUFAF5;NDUFAF2;OGDH;NDUFAF3;TCF4;STT3B;NOP10;FGFR2;COX20;GABRB3;SNAP25;TOP2B;COX7B;CHD8;CTCF;GRIK2;IER3IP1;PQBP1;PCLO;GM2A;RARS;KIF1A;DNM1L;TPI1;SSR4;ATRX;NRG1;PEX2;AMPD2;KCNAB2;TUBG1;AP3B2;ARID1B;HADHB;LMBRD1;HAX1;NDUFS8;NPC1;NRG3;KIF2A;NDUFS7;NPC2;ACOX1;NDUFS6;NDUFS4;NDUFS2;NDUFS1;HNRNPH2;MAPT;ZMYND11;DLD;NDUFB9;DDC;PCNA;SATB2;SF3B6;NDUFB3;GBA;ATP1A3;MFF;HSD17B10;LAGE3;TMEM70;TMEM165;HSPD1;PUF60;EMC1;DMD;CNNM2;SLC25A22;SH2B1;BCAP31;NTRK2;GABRA1;SLC12A5;KCNJ10;PET100;KCNB1;MDH2;USP9X;GAD1;NDUFA2;NDUFA1;TPRKB;RPL35A;TTC19;FIG4;PDP1;ITCH;GATM;SUCLA2;CLCN4;NFIA;APC;GLRB;SNX14;PLP1;CDK2AP2;RAB3GAP2;LAMTOR2;TARDBP
8	DisGeNET	Cerebellar degeneration	54/193	9.919097819142938e-12	7.999201330148827e-09	0	0	3.363244460501808	85.21304219064191	APP;NDUFA11;FMR1;TXN2;ABHD12;PCLO;OPA1;FRRS1L;KIF1A;CTSD;SPTAN1;COG8;ELOVL5;ATP6AP2;PEX2;MAG;NPC1;NDUFS6;NPC2;NDUFS4;NDUFS2;NDUFS1;TMEM126B;LY6E;CSTB;NDUFB9;PCNA;UBA5;NDUFB3;MFF;TTBK2;PRDX2;ATXN2;NDUFV2;NDUFV1;SPTBN2;BCAP31;PRNP;KCNJ10;HSPA5;MDH2;NDUFA1;TTC19;CCDC88A;FA2H;PPP2R2B;SNX14;NDUFAF5;NDUFAF2;NDUFAF3;UBA1;PNPLA6;ACO2;STT3B
9	DisGeNET	Acidosis, Lactic	52/183	1.2616645777295894e-11	9.155365532759182e-09	0	0	3.434660876096422	86.19626336134407	SLC25A3;MRPS16;NDUFA11;NDUFA12;OPA1;MPC1;DNM1L;COX6B1;HADHB;NDUFS8;NDUFS7;NDUFS6;BOLA3;NDUFS4;SRSF2;TFAM;TXNIP;NDUFS2;SUCLG1;NDUFS1;TMEM126B;SLC25A4;DLD;ISCU;ATF4;NDUFB9;UQCRB;NDUFB11;NDUFB3;HSD17B10;TMEM70;COX14;CYC1;NDUFV2;NDUFV1;SURF1;PDHA1;HSPA5;UQCC3;NDUFA5;PET100;PNPLA8;TXNRD1;NDUFA2;NDUFA1;PDP1;SUCLA2;UQCRQ;NDUFAF5;NDUFAF2;NDUFAF3;COX20
