gene,p_value,coefficients,variance_explained
Xkr4,0.9960050472100921,"[ 0.01710559  0.00780842 -0.00615667  0.0114878   0.01240457 -0.04264972
 -0.99730583]","OrderedDict([('explained_deviance', 1.1704595839212573e-06), ('McFadden', 0.9999990220880616), ('McFadden_adj', -1.716417975750062e-06)])"
Gm19938,0.8626274134743891,"[-5.07537784e-03 -3.31339474e-03  1.13371190e-03  4.69588947e-03
  3.33061163e-04  2.22610509e-03 -9.90704413e-01]","OrderedDict([('explained_deviance', 6.060352124581669e-06), ('McFadden', 0.9999922109160008), ('McFadden_adj', 5.088232757466393e-06)])"
Sox17,0.9984796012464126,"[-0.01460861 -0.00393776  0.00982151 -0.01125878 -0.0117933   0.03177694
 -1.01705007]","OrderedDict([('explained_deviance', 1.8117916412707658e-06), ('McFadden', 0.9999980769402282), ('McFadden_adj', -6.264470848726944e-07)])"
Mrpl15,0.986547458570622,"[-0.02617596 -0.01062134  0.01165027 -0.01827254 -0.02454538  0.06796495
 -0.98950754]","OrderedDict([('explained_deviance', 2.385907144297761e-06), ('McFadden', 0.9999985059219424), ('McFadden_adj', -1.160340042716257e-06)])"
A930006A01Rik,0.9775526731801607,"[ 0.01314482  0.0049249  -0.00719491  0.00415987  0.00428907 -0.01932375
 -0.9883219 ]","OrderedDict([('explained_deviance', 2.6599936696625193e-06), ('McFadden', 0.9999966659708225), ('McFadden_adj', 6.124683358255112e-07)])"
Lypla1,0.9054832633873181,"[ 5.62245676e-03  1.60374924e-04 -5.25560021e-03  1.11890446e-02
  7.43385403e-03 -1.91501349e-02 -9.80497965e-01]","OrderedDict([('explained_deviance', 5.7313058476893275e-06), ('McFadden', 0.9999927184899816), ('McFadden_adj', 4.5174020683047544e-06)])"
Tcea1,0.9940845253145137,"[ 0.00711477  0.00183368 -0.00463129  0.00774237  0.00236834 -0.01442788
 -0.97420146]","OrderedDict([('explained_deviance', 7.453949861790932e-07), ('McFadden', 0.9999993104694922), ('McFadden_adj', -2.1011351598598793e-06)])"
Rgs20,0.8529442138796209,"[ 0.04365744  0.01719809 -0.02133396  0.02249638  0.02633776 -0.08835572
 -0.96768718]","OrderedDict([('explained_deviance', 8.939832514154311e-06), ('McFadden', 0.999990983480352), ('McFadden_adj', 6.1573332502673495e-06)])"
Atp6v1h,0.9961917922033361,"[-3.75237776e-03 -2.01034738e-03  1.09036890e-03 -5.63104361e-04
 -4.64116656e-03  9.87662223e-03 -9.98532746e-01]","OrderedDict([('explained_deviance', 4.7479857501198097e-07), ('McFadden', 0.9999995164339229), ('McFadden_adj', -2.169596182266531e-06)])"
Oprk1,0.93823328565087,"[-5.82037064e-03  1.42261855e-04  8.05608271e-03  4.59471201e-03
 -1.58418719e-03 -5.38850380e-03 -1.01875368e+00]","OrderedDict([('explained_deviance', 6.083007325741185e-06), ('McFadden', 0.9999935980043895), ('McFadden_adj', 3.829958748702289e-06)])"
4732440D04Rik,0.9953299013311199,"[ 7.73821012e-03  1.10142987e-03 -7.72765030e-03 -3.54118779e-04
  4.73462939e-03 -5.49250525e-03 -9.98561089e-01]","OrderedDict([('explained_deviance', 3.6679288053509396e-06), ('McFadden', 0.9999961587212238), ('McFadden_adj', 1.1815339769905009e-06)])"
Rb1cc1,0.9876050320711127,"[-0.0219049  -0.0071227   0.01348414 -0.01007093 -0.01538903  0.04100341
 -1.01126761]","OrderedDict([('explained_deviance', 3.503520033754093e-06), ('McFadden', 0.9999967109046609), ('McFadden_adj', 7.178982512900944e-07)])"
St18,0.9971873024652772,"[-0.02943578 -0.01036028  0.01571855 -0.02153746 -0.02274291  0.06835787
 -0.96890819]","OrderedDict([('explained_deviance', 1.9172180331095134e-06), ('McFadden', 0.9999990890373041), ('McFadden_adj', -1.8383084732231936e-06)])"
Gm57122,0.9970731543249352,"[-2.03574898e-04 -1.38103278e-03 -2.23231642e-03 -7.12707433e-04
 -4.71418847e-03  9.24381518e-03 -9.75351093e-01]","OrderedDict([('explained_deviance', 1.4054575292465898e-07), ('McFadden', 0.9999998536332682), ('McFadden_adj', -2.6179240273371818e-06)])"
Pcmtd1,0.9924889974090172,"[-0.01447409 -0.00416648  0.00926912 -0.01120755 -0.01489078  0.03546978
 -0.96822594]","OrderedDict([('explained_deviance', 3.819910217250921e-06), ('McFadden', 0.9999957258093002), ('McFadden_adj', 1.4997125563631641e-06)])"
Gm26901,0.9760962480979074,"[-0.02599174 -0.00740486  0.01779328 -0.01214218 -0.01692457  0.04467006
 -0.98596482]","OrderedDict([('explained_deviance', 5.152589888979264e-06), ('McFadden', 0.9999951102455037), ('McFadden_adj', 2.19908475962427e-06)])"
Sntg1,0.9976043413983914,"[ 0.01526631  0.00500308 -0.00832015  0.01487523  0.01382956 -0.04065404
 -0.98416267]","OrderedDict([('explained_deviance', 2.0711772709125498e-06), ('McFadden', 0.9999978710668599), ('McFadden_adj', -6.297276424760412e-07)])"
Rrs1,0.9698790315463988,"[ 0.02964278  0.00934366 -0.01830492  0.01714932  0.02020885 -0.05803969
 -1.00343816]","OrderedDict([('explained_deviance', 3.2514306816944227e-06), ('McFadden', 0.9999974448617989), ('McFadden_adj', -1.1998289184411703e-07)])"
Adhfe1,0.9951467860309149,"[ 3.92302330e-03  5.97342389e-04 -2.87710152e-03  7.42523985e-03
  8.00072787e-03 -1.70692368e-02 -9.97680826e-01]","OrderedDict([('explained_deviance', 3.61752565514184e-06), ('McFadden', 0.9999953443668593), ('McFadden_adj', 1.9721405478678733e-06)])"
2610203C22Rik,0.9981207656833904,"[-0.02280073 -0.00826397  0.01212458 -0.01388708 -0.01945653  0.05228373
 -0.97411601]","OrderedDict([('explained_deviance', 2.5692447382930084e-06), ('McFadden', 0.9999979166358192), ('McFadden_adj', -6.609009182145797e-07)])"
Vxn,0.9979569180026654,"[ 0.00812705  0.00223517 -0.00513007  0.00827677  0.00871903 -0.02222795
 -0.95306875]","OrderedDict([('explained_deviance', 1.5770890935407067e-06), ('McFadden', 0.9999981367934091), ('McFadden_adj', -1.0340506950701212e-06)])"
Mybl1,0.9903773114718593,"[ 0.01953188  0.00710602 -0.0106524   0.00940492  0.01154072 -0.03693114
 -0.98994786]","OrderedDict([('explained_deviance', 1.801772241960542e-06), ('McFadden', 0.9999982275194728), ('McFadden_adj', -9.501685349633249e-07)])"
Vcpip1,0.9987252466336515,"[ 0.01976219  0.00610952 -0.01198236  0.01477856  0.01510898 -0.04377691
 -0.98440581]","OrderedDict([('explained_deviance', 1.5234577247502656e-06), ('McFadden', 0.9999987370986524), ('McFadden_adj', -1.492554684290326e-06)])"
1700034P13Rik,0.9773285801586253,"[ 0.01576443  0.00258852 -0.01434091  0.00544523  0.00635427 -0.01581155
 -0.98072897]","OrderedDict([('explained_deviance', 3.0696616666325838e-06), ('McFadden', 0.9999968829726501), ('McFadden_adj', 3.6082291765549e-07)])"
Sgk3,0.9068797627964961,"[-1.32861190e-03  3.43497077e-04  2.92073461e-03  5.14833874e-03
 -6.30619855e-03 -7.77764881e-04 -9.88542925e-01]","OrderedDict([('explained_deviance', 7.906512418220935e-06), ('McFadden', 0.9999916203004119), ('McFadden_adj', 5.676235249274519e-06)])"
Snhg6,0.9704649151024363,"[ 0.00262887  0.00216543  0.00145229  0.00744334  0.00971632 -0.02340625
 -1.01897215]","OrderedDict([('explained_deviance', 2.3543500105027704e-06), ('McFadden', 0.9999970841650763), ('McFadden_adj', 3.3040988689503337e-07)])"
Mcmdc2,0.9709974059654405,"[-0.01438738 -0.0025224   0.0123386  -0.00870315 -0.01169794  0.02497228
 -0.94449796]","OrderedDict([('explained_deviance', 5.154482662583781e-06), ('McFadden', 0.999994283039842), ('McFadden_adj', 2.812808824304014e-06)])"
